id,wind,wind_category,path
EP011978,40,TS,hursat_hurdat/1978151N15260.ALETTA.1978.05.30.1800.35.GOE-2.034.hursat-b1.v06.h5
EP011978,45,TS,hursat_hurdat/1978151N15260.ALETTA.1978.05.31.1800.38.GOE-2.040.hursat-b1.v06.h5
EP021978,40,TS,hursat_hurdat/1978168N11242.BUD.1978.06.17.1800.55.GOE-2.034.hursat-b1.v06.h5
EP021978,50,TS,hursat_hurdat/1978168N11242.BUD.1978.06.18.1800.61.GOE-2.044.hursat-b1.v06.h5
EP031978,25,TD,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.17.1800.42.GOE-2.022.hursat-b1.v06.h5
EP031978,40,TS,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.18.1800.45.GOE-2.034.hursat-b1.v06.h5
EP031978,105,H3,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.20.1800.50.GOE-2.092.hursat-b1.v06.h5
EP031978,115,H4,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.21.1200.52.GOE-2.101.hursat-b1.v06.h5
EP031978,115,H4,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.21.1800.53.GOE-2.101.hursat-b1.v06.h5
EP031978,110,H3,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.22.1800.56.GOE-2.098.hursat-b1.v06.h5
EP031978,70,H1,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.23.1800.59.GOE-2.062.hursat-b1.v06.h5
EP031978,40,TS,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.24.1800.64.GOE-2.037.hursat-b1.v06.h5
EP031978,20,TD,hursat_hurdat/1978168N14254.CARLOTTA.1978.06.25.1800.71.GOE-2.018.hursat-b1.v06.h5
EP041978,25,TD,hursat_hurdat/1978178N14260.DANIEL.1978.06.27.1800.38.GOE-2.024.hursat-b1.v06.h5
EP041978,55,TS,hursat_hurdat/1978178N14260.DANIEL.1978.06.28.1800.42.GOE-2.044.hursat-b1.v06.h5
EP041978,65,H1,hursat_hurdat/1978178N14260.DANIEL.1978.06.29.1800.46.GOE-2.056.hursat-b1.v06.h5
EP041978,100,H3,hursat_hurdat/1978178N14260.DANIEL.1978.06.30.1800.51.GOE-2.088.hursat-b1.v06.h5
EP041978,90,H2,hursat_hurdat/1978178N14260.DANIEL.1978.07.01.1800.58.GOE-2.081.hursat-b1.v06.h5
EP041978,45,TS,hursat_hurdat/1978178N14260.DANIEL.1978.07.02.1800.64.GOE-2.043.hursat-b1.v06.h5
EP041978,20,TD,hursat_hurdat/1978178N14260.DANIEL.1978.07.03.1800.73.GOE-2.018.hursat-b1.v06.h5
EP051978,25,TD,hursat_hurdat/1978188N15248.EMILIA.1978.07.06.1800.46.GOE-2.022.hursat-b1.v06.h5
EP051978,50,TS,hursat_hurdat/1978188N15248.EMILIA.1978.07.08.1800.53.GOE-2.044.hursat-b1.v06.h5
EP051978,45,TS,hursat_hurdat/1978188N15248.EMILIA.1978.07.09.1800.58.GOE-2.040.hursat-b1.v06.h5
EP051978,25,TD,hursat_hurdat/1978188N15248.EMILIA.1978.07.10.1800.63.GOE-2.022.hursat-b1.v06.h5
EP061978,30,TD,hursat_hurdat/1978190N11254.FICO.1978.07.09.1800.41.GOE-2.026.hursat-b1.v06.h5
EP061978,65,H1,hursat_hurdat/1978190N11254.FICO.1978.07.10.1800.44.GOE-2.055.hursat-b1.v06.h5
EP061978,100,H3,hursat_hurdat/1978190N11254.FICO.1978.07.11.1200.47.GOE-2.088.hursat-b1.v06.h5
EP061978,115,H4,hursat_hurdat/1978190N11254.FICO.1978.07.11.1800.47.GOE-2.099.hursat-b1.v06.h5
EP061978,120,H4,hursat_hurdat/1978190N11254.FICO.1978.07.12.1800.49.GOE-2.106.hursat-b1.v06.h5
EP061978,105,H3,hursat_hurdat/1978190N11254.FICO.1978.07.13.1800.52.GOE-2.092.hursat-b1.v06.h5
EP061978,110,H3,hursat_hurdat/1978190N11254.FICO.1978.07.14.1800.56.GOE-2.096.hursat-b1.v06.h5
